sys_idx,pro_idx,system_sent,pro_sent,P,R,F1
0,0,四索を切ったのは、場況的に安全牌と判断したためです。,四索打ったのは安全牌って判断したからだね。,0.8228,0.8816,0.8512
1,0,一発を消すために先に打った、という意図があります。,四索打ったのは安全牌って判断したからだね。,0.7407,0.7491,0.7449
2,4,ドラ受けを優先して、打牌を選びました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.8446,0.7892,0.8159
3,0,四索切ったのは安全牌だと思ったからさ。,四索打ったのは安全牌って判断したからだね。,0.9059,0.8880,0.8969
4,0,一発避けるために先に打ったんだよ。,四索打ったのは安全牌って判断したからだね。,0.7912,0.7754,0.7832
5,4,ドラ受け重視で打牌決めた。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.8442,0.7416,0.7896
6,0,四索の打牌は安全牌との判断による選択である。,四索打ったのは安全牌って判断したからだね。,0.8026,0.7874,0.7949
7,3,一発を回避する目的で先に打牌を行った。,一発消すため2先2打っとくって判断もアリだし。,0.7281,0.7137,0.7208
8,4,ドラ受けを最優先として打牌を決定した。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.8063,0.7348,0.7689
9,0,四索は安全牌なので切った。,四索打ったのは安全牌って判断したからだね。,0.8408,0.7905,0.8148
10,3,一発避けで先に打った。,一発消すため2先2打っとくって判断もアリだし。,0.8070,0.7336,0.7686
11,4,ドラ受け優先で打牌。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.9037,0.7428,0.8154
12,0,四索を切った理由は安全牌と判断したからです。,四索打ったのは安全牌って判断したからだね。,0.8706,0.9008,0.8855
13,3,一発を消すという目的で先に打ちました。,一発消すため2先2打っとくって判断もアリだし。,0.7426,0.7189,0.7305
14,4,ドラ受けを重視した理由で打牌を選択しました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.7820,0.7659,0.7739
15,0,四索を捨てたのは、状況的に安全な牌と認識したからです。,四索打ったのは安全牌って判断したからだね。,0.8046,0.8603,0.8315
16,0,一発を防ぐために前もって打った、という狙いがあります。,四索打ったのは安全牌って判断したからだね。,0.7105,0.7368,0.7234
17,4,ドラ受けを重視して、打牌を選択しました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.8017,0.7616,0.7811
18,0,四索は安全牌として判断され、切られました。,四索打ったのは安全牌って判断したからだね。,0.8118,0.8105,0.8112
19,4,一発を避ける目的で、先に打牌が行われました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.7299,0.7214,0.7256
20,4,ドラ受けが優先され、打牌が選ばれました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.8333,0.7819,0.8068
21,0,三索を切ったのは、危険牌と判断したためです。,四索打ったのは安全牌って判断したからだね。,0.8578,0.8651,0.8614
22,0,一発を狙うために最後に打った、という戦略があります。,四索打ったのは安全牌って判断したからだね。,0.7315,0.7371,0.7343
23,4,ドラを避けて、安全牌を選びました。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.7667,0.7331,0.7495
24,0,今日は天気が良いですね。,四索打ったのは安全牌って判断したからだね。,0.7234,0.6904,0.7065
25,2,お腹が空きました。,でも上家がリーチかけてるから慎重2ならないと。,0.7260,0.6909,0.7080
26,4,映画を見に行きたいです。,ドラ受け優先で打牌選んだのは確実2点取りたいからだろうな。,0.7288,0.6812,0.7042
